VendorID,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,fare_amount,tip_amount,day_night,payment_type_1,payment_type_2,payment_type_3,payment_type_4,tip_rate_20
2,3,0.98,143,48,1,5.5,1.36,0,1,0,0,0,1
2,1,4.16,43,170,2,14.5,0.0,0,0,1,0,0,0
1,1,5.0,145,224,2,16.0,0.0,0,0,1,0,0,0
2,1,0.89,179,179,1,5.0,1.0,0,1,0,0,0,1
1,1,1.6,158,68,2,7.0,0.0,0,0,1,0,0,0
2,1,1.9,162,263,2,8.0,0.0,0,0,1,0,0,0
1,1,1.1,230,229,1,7.5,2.2,0,1,0,0,0,1
1,1,2.1,68,161,1,9.5,0.0,0,1,0,0,0,0
1,1,13.6,88,212,1,38.0,7.85,0,1,0,0,0,1
2,1,4.58,239,244,1,14.5,3.16,0,1,0,0,0,1
2,2,4.23,48,226,1,15.5,3.36,0,1,0,0,0,1
1,1,4.8,229,223,2,15.5,0.0,0,0,1,0,0,0
2,1,4.95,164,226,2,16.0,0.0,0,0,1,0,0,0
2,1,1.37,113,186,1,6.0,0.0,0,1,0,0,0,0
2,1,7.41,163,138,1,24.0,6.32,0,1,0,0,0,1
1,1,2.4,141,48,1,11.0,2.45,0,1,0,0,0,1
2,1,6.36,239,261,1,22.0,4.66,0,1,0,0,0,1
1,1,0.5,142,50,2,4.5,0.0,0,0,1,0,0,0
2,1,2.57,143,41,1,9.0,0.0,0,1,0,0,0,0
1,1,16.6,234,132,1,52.0,5.86,0,1,0,0,0,0
1,1,2.2,234,230,1,10.0,1.5,0,1,0,0,0,0
2,1,1.71,234,237,1,7.5,2.08,0,1,0,0,0,1
2,2,1.07,229,230,2,7.0,0.0,0,0,1,0,0,0
2,1,4.83,162,87,2,16.0,0.0,0,0,1,0,0,0
1,1,0.9,170,161,1,6.0,1.35,0,1,0,0,0,1
2,1,1.02,75,141,1,5.0,1.16,0,1,0,0,0,1
1,1,1.2,48,161,1,8.0,2.6,0,1,0,0,0,1
2,1,0.82,141,161,1,5.0,1.16,0,1,0,0,0,1
2,2,0.83,141,140,1,5.0,1.16,0,1,0,0,0,1
